317,179,3
13,210,211
91,225,110
76,279,223
25,258,109
103,84,13
137,98,24
229,236,8
283,126,85
24,192,70
142,90,223
87,4,154
31,45,30
67,79,87
151,318,121
313,80,153
51,156,116
300,81,27
135,0,228
88,134,182
251,141,162
76,2,139
90,17,113
323,15,177
295,145,36
193,89,68
197,155,205
268,142,76
230,211,234
188,133,217
226,296,221
168,122,278
246,260,136
13,0,97
227,282,163
153,228,55
196,268,47
99,124,178
8,113,41
11,144,269
231,33,182
105,298,10
273,229,274
12,63,177
245,83,177
73,181,102
177,98,191
268,42,187
200,102,45
251,130,251
246,282,282
166,59,8
232,19,260
60,2,174
203,57,263
17,319,262
322,76,221
8,258,134
286,171,84
123,94,279
127,20,202
43,175,254
261,17,217
156,179,202
131,301,184
34,106,46
121,289,175
135,271,144
179,42,122
249,224,98
275,319,258
149,157,148
206,310,152
42,183,121
271,41,91
301,197,71
247,171,83
2,237,117
151,91,136
134,237,270
6,32,39
225,25,218
159,171,180
113,159,158
40,129,249
278,245,18
182,238,94
302,14,247
283,314,18
238,142,247
227,184,60
294,201,122
172,315,163
177,48,136
58,56,4
125,100,153
207,116,115
77,65,7
147,234,96
296,227,70
113,74,170
6,285,201
54,149,156
68,9,218
250,199,281
273,282,246
268,290,120
31,7,207
133,280,176
23,170,225
64,123,266
132,215,214
21,227,212
5,92,85
117,267,278
242,46,126
312,159,278
312,320,14
40,282,200
273,71,83
18,183,15
82,140,58
215,78,81
109,319,144
128,59,85
240,208,121
251,285,4
316,288,137
172,30,227
235,46,65
158,269,207
11,256,233
283,147,111
92,314,180
297,310,133
145,71,120
204,60,162
292,169,223
20,287,209
91,104,96
49,301,69
235,222,29
176,208,40
39,286,137
290,13,232
118,271,209
198,25,184
287,127,22
168,72,131
303,1,214
125,69,20
229,167,163
11,205,279
153,43,179
236,55,271
213,193,187
210,276,251
138,293,195
218,67,30
47,24,248
240,153,92
254,277,238
171,21,138
264,6,56
118,91,19
98,131,163
32,109,0
164,143,274
56,320,61
188,170,165
68,101,155
252,132,267
211,59,232
282,208,263
141,11,68
309,276,49
146,80,192
88,62,37
59,133,178
196,90,70
112,284,68
304,166,167
32,154,149
126,211,122
17,147,91
32,11,193
191,30,25
19,260,172
288,226,47
290,161,20
102,75,100
287,199,240
72,86,261
110,3,167
290,293,175
49,267,223
319,38,280
102,270,84
299,37,188
91,110,217
247,169,20
52,182,81
4,212,170
284,19,177
311,295,45
314,321,6
54,279,77
182,273,255
186,173,134
102,78,48
291,201,206
204,105,48
289,114,106
159,169,139
184,236,277
89,17,157
44,271,17
195,324,41
207,226,35
59,210,47
212,153,0
301,157,245
53,75,220
210,263,29
57,32,135
47,39,202
176,216,193
127,129,259
258,235,164
79,95,240
125,236,254
171,295,221
204,46,33
70,233,84
87,245,139
155,287,265
199,195,208
101,324,169
306,4,60
39,229,149
52,184,191
45,245,234
309,177,98
50,138,171
200,285,59
25,295,245
102,10,166
36,127,250
165,267,102
258,226,184
318,7,240
32,302,106
261,285,16
69,103,2
119,295,188
243,298,30
255,60,209
190,248,25
222,85,124
64,44,78
254,226,160
277,173,115
220,244,130
256,18,118
277,9,262
214,121,32
118,85,168
255,319,190
33,201,81
197,155,182
202,294,79
242,142,184
210,251,262
19,37,31
21,105,168
40,278,45
64,189,243
159,315,143
310,232,169
283,121,153
224,44,95
220,136,98
263,142,117
78,86,132
301,233,223
158,167,166
31,124,281
69,180,36
90,250,10
324,146,241
177,290,272
78,127,192
82,72,279
311,309,43
164,16,124
24,323,113
302,213,68
93,44,256
318,265,269
52,279,172
304,273,30
177,100,245
43,213,216
139,79,58
225,198,129
155,314,244
14,26,242
209,11,110
290,46,226
87,194,137
83,224,221
229,213,93
180,46,51
201,110,161
71,153,170
42,322,167
139,14,169
146,157,235
223,158,133
17,26,139
77,288,241
93,246,151
102,173,195
108,29,172
236,98,114
2,63,137
315,259,97
149,239,154
28,147,191
296,138,9
187,233,142
235,169,281
72,49,247
264,172,77
122,142,148
132,97,13
273,43,158
117,4,206
115,212,219
251,6,0
195,10,148
189,175,198
189,257,178
146,157,264
266,112,207
108,164,226
46,169,54
158,135,160
263,234,172
323,41,175
89,231,146
322,304,80
234,312,118
139,282,130
114,235,178
300,166,92
122,285,196
156,94,114
77,306,260
29,135,166
150,23,11
248,286,71
245,306,258
102,101,28
66,64,132
316,79,265
151,222,230
251,221,104
201,102,48
42,202,247
22,322,23
283,173,145
15,282,173
229,288,124
189,89,20
27,195,163
7,21,152
119,211,65
109,270,2
139,185,82
106,137,77
248,63,18
224,313,49
14,110,122
201,278,207
4,50,242
61,250,168
298,94,9
14,155,153
5,260,27
118,167,145
249,273,78
156,290,108
297,30,77
292,223,281
301,165,138
86,146,188
98,19,49
212,272,19
213,68,121
238,181,67
106,130,252
15,120,159
322,65,132
208,149,221
147,300,97
201,272,275
140,278,225
152,316,75
117,155,223
220,257,6
240,186,1
14,160,233
136,233,79
8,172,91
179,227,17
171,118,205
275,12,220
220,199,96
35,279,226
313,183,231
116,298,168
97,9,206
147,70,218
68,42,108
221,110,65
259,83,62
193,240,204
176,289,183
288,108,86
309,75,195
291,60,146
37,81,206
223,16,22
97,186,51
137,102,182
133,39,270
274,324,191
117,98,162
321,270,266
99,66,87
163,90,164
162,148,116
78,8,244
209,268,74
285,46,232
58,242,40
86,292,270
237,163,17
72,299,229
114,232,104
221,227,6
114,51,237
8,312,160
315,9,159
153,4,40
310,241,54
103,161,117
248,322,210
307,251,52
298,0,69
209,232,257
219,277,59
41,10,127
112,172,22
164,21,133
4,254,45
88,212,41
224,36,138
191,24,49
218,242,123
146,114,87
287,117,189
204,90,93
226,138,269
160,63,198
47,126,107
263,121,70
172,217,90
116,231,225
140,212,134
34,162,96
306,121,264
135,64,177
157,34,205
275,129,66
99,272,267
268,228,64
265,189,88
192,242,40
274,7,196
251,74,252
23,266,160
168,110,73
18,153,84
175,321,145
164,227,92
310,261,220
29,89,109
3,118,87
226,115,230
286,100,135
61,158,17
198,211,152
321,63,129
238,103,31
30,192,193
6,192,159
43,169,154
275,72,88
31,62,254
34,70,21
125,199,77
249,135,212
299,304,258
208,59,261
210,192,5
27,0,136
39,248,157
289,79,61
188,184,145
70,322,193
285,316,105
98,20,207
11,230,261
283,20,206
133,72,50
314,19,24
147,197,186
274,192,22
275,239,60
311,123,202
234,192,6
286,287,41
44,23,180
246,162,73
276,158,170
221,294,162
279,55,168
94,167,93
73,292,112
98,120,264
240,12,234
130,240,202
226,116,3
320,217,53
247,318,274
109,18,155
36,171,140
6,315,16
230,205,210
291,96,242
212,262,166
123,48,246
244,165,74
93,47,38
158,122,179
184,4,5
116,286,71
248,282,70
214,147,188
241,68,33
86,120,183
22,310,136
311,38,148
58,178,216
312,233,217
305,36,75
78,24,24
74,250,65
155,115,258
198,43,129
320,258,40
131,72,227
70,13,3
51,93,69
268,13,274
249,62,29
144,279,238
192,131,240
93,306,256
306,127,67
49,5,249
48,139,12
67,49,146
240,257,164
48,27,147
12,164,68
299,7,16
191,117,105
143,281,282
267,49,201
317,147,60
267,261,191
285,200,39
95,314,237
231,142,118
153,224,54
287,282,185
162,285,16
57,184,68
324,150,23
182,162,268
308,112,213
238,318,210
150,234,51
59,72,277
41,6,68
92,166,209
5,121,25
167,319,122
65,236,89
73,137,213
184,154,174
164,154,176
310,33,104
242,96,98
221,187,259
2,204,107
16,72,222
313,226,180
263,25,135
225,125,45
110,192,206
161,274,111
270,97,97
169,223,169
43,134,238
7,240,116
234,35,82
35,56,29
115,180,69
66,5,138
239,59,89
103,204,58
307,277,33
300,41,188
292,133,143
152,313,246
113,42,101
297,245,175
148,1,263
164,300,106
43,78,136
73,199,23
57,229,105
197,271,222
97,263,19
30,150,135
62,63,160
143,106,267
282,197,252
48,73,85
12,273,231
12,140,235
111,279,210
160,252,98
154,262,37
105,172,197
113,96,142
149,211,33
82,210,23
272,208,161
194,312,59
213,177,167
180,165,149
43,141,226
35,259,28
3,224,123
288,135,190
276,200,221
292,263,179
8,28,71
39,217,132
201,258,137
7,130,187
163,82,278
321,240,231
231,117,141
178,270,39
8,277,127
109,42,127
61,115,25
222,151,28
52,193,201
249,210,19
232,153,122
163,125,139
290,106,120
267,299,75
304,224,247
274,114,148
74,213,181
134,90,71
148,16,101
170,74,241
308,67,209
124,272,254
85,246,87
226,206,50
226,180,77
324,30,160
269,284,197
0,286,6
57,222,133
89,290,239
23,196,101
212,287,74
2,199,2
262,33,218
322,47,88
306,274,272
35,43,73
257,183,150
297,319,141
3,319,86
81,68,146
202,194,167
277,149,189
154,86,231
28,286,262
75,44,2
268,102,243
70,195,219
166,73,155
250,299,74
244,229,234
268,275,206
13,205,111
0,240,167
155,310,103
295,321,137
80,206,130
294,45,16
61,311,214
164,241,238
152,214,154
75,15,70
188,17,197
243,303,117
120,221,132
83,253,82
28,212,234
234,87,32
93,235,240
291,55,155
51,90,115
47,209,235
231,1,70
281,222,185
315,122,195
8,132,38
222,87,188
234,95,25
176,215,198
174,228,55
26,292,130
162,241,100
129,221,216
310,215,54
4,315,56
258,158,176
9,220,134
133,179,190
248,303,81
85,292,55
300,107,91
151,88,241
94,177,214
56,154,241
214,266,131
95,123,254
183,178,151
153,52,85
63,303,88
152,95,270
245,314,173
205,175,221
277,102,244
216,300,52
192,51,104
207,92,56
175,91,198
184,177,104
176,19,245
319,263,13
161,24,135
55,247,234
303,271,189
194,89,164
88,181,11
43,81,164
12,275,173
55,161,97
324,188,149
207,105,31
79,110,250
219,221,267
189,12,6
85,290,150
305,16,244
236,47,210
133,3,189
172,295,143
65,45,201
272,116,46
235,222,148
318,65,118
120,262,43
166,86,63
21,33,86
32,192,189
93,157,215
24,309,179
117,194,77
240,94,178
235,261,194
236,171,232
277,70,10
200,98,60
266,1,253
93,318,0
212,128,224
40,67,231
72,74,191
309,14,271
176,304,61
253,259,18
197,289,149
147,28,204
94,95,248
37,167,202
305,166,76
170,126,26
221,247,273
41,123,145
231,115,61
37,286,171
115,143,89
65,126,255
103,99,57
128,271,264
154,153,110
187,260,1
206,144,102
166,17,167
50,266,117
322,200,160
249,260,245
213,63,268
284,260,210
57,303,210
103,280,167
274,106,75
167,202,266
303,134,75
229,131,268
214,272,256
63,9,186
283,204,90
174,9,69
139,18,90
311,283,148
189,2,67
58,42,225
180,294,227
149,236,266
67,110,88
293,134,137
244,180,270
108,148,129
76,100,44
224,250,101
153,56,234
272,17,83
115,89,274
225,246,27
214,191,63
240,45,118
264,193,15
101,253,170
268,150,256
81,300,31
